nome,id
Pai,8db7943e-9a55-4c57-bccb-f855124b36f0
Mãe,6a0d6efa-6eb8-4f8e-9e87-3e233ce89af7
Filho,d00f4569-57d2-44f5-b934-7a43affdf8f7
Filha,4e51ec8e-3542-4046-8105-740a8e5722f1
Avô,bc7ba285-933b-4366-b57a-26e1c74f1bec
Avó,ef35a561-14f4-42e2-93fb-98616694dbb8
Sobrinho,2cea1d69-3d51-459e-8901-9489d779a375
Sobrinha,bd7c3b0a-c47d-4d3e-b646-ccf2c90db574
Tio,d345856a-f2a2-4611-87f6-8b24027e78b7
Tia,32e7bd50-823b-4929-be52-46982e3ef9f0
Agregado,d2e1ccea-9ce8-4ffe-8084-1a2341231ff4
Agregada,98dadddd-ced3-4eb2-924b-113f63b5ca2b
